region,pickup_date_hour,y_1,y_2,y_3,y_4,y_5,y_6
2168,2016-06-30 17:00:00,1.0,1.0,0.0,1.0,0.0,0.0
2168,2016-06-30 16:00:00,1.0,1.0,1.0,0.0,1.0,0.0
2168,2016-06-30 15:00:00,2.0,1.0,1.0,1.0,0.0,1.0
2168,2016-06-30 14:00:00,0.0,2.0,1.0,1.0,1.0,0.0
2168,2016-06-30 13:00:00,0.0,0.0,2.0,1.0,1.0,1.0
2168,2016-06-30 12:00:00,1.0,0.0,0.0,2.0,1.0,1.0
2168,2016-06-30 11:00:00,2.0,1.0,0.0,0.0,2.0,1.0
2168,2016-06-30 10:00:00,0.0,2.0,1.0,0.0,0.0,2.0
2168,2016-06-30 09:00:00,1.0,0.0,2.0,1.0,0.0,0.0
2168,2016-06-30 08:00:00,0.0,1.0,0.0,2.0,1.0,0.0
2168,2016-06-30 07:00:00,1.0,0.0,1.0,0.0,2.0,1.0
2168,2016-06-30 06:00:00,4.0,1.0,0.0,1.0,0.0,2.0
2168,2016-06-30 05:00:00,5.0,4.0,1.0,0.0,1.0,0.0
2168,2016-06-30 04:00:00,4.0,5.0,4.0,1.0,0.0,1.0
2168,2016-06-30 03:00:00,0.0,4.0,5.0,4.0,1.0,0.0
2168,2016-06-30 02:00:00,0.0,0.0,4.0,5.0,4.0,1.0
2168,2016-06-30 01:00:00,0.0,0.0,0.0,4.0,5.0,4.0
2168,2016-06-30 00:00:00,2.0,0.0,0.0,0.0,4.0,5.0
2168,2016-06-29 23:00:00,1.0,2.0,0.0,0.0,0.0,4.0
2168,2016-06-29 22:00:00,0.0,1.0,2.0,0.0,0.0,0.0
2168,2016-06-29 21:00:00,1.0,0.0,1.0,2.0,0.0,0.0
2168,2016-06-29 20:00:00,0.0,1.0,0.0,1.0,2.0,0.0
2168,2016-06-29 19:00:00,1.0,0.0,1.0,0.0,1.0,2.0
2168,2016-06-29 18:00:00,0.0,1.0,0.0,1.0,0.0,1.0
2168,2016-06-29 17:00:00,1.0,0.0,1.0,0.0,1.0,0.0
2168,2016-06-29 16:00:00,2.0,1.0,0.0,1.0,0.0,1.0
2168,2016-06-29 15:00:00,0.0,2.0,1.0,0.0,1.0,0.0
2168,2016-06-29 14:00:00,2.0,0.0,2.0,1.0,0.0,1.0
2168,2016-06-29 13:00:00,3.0,2.0,0.0,2.0,1.0,0.0
2168,2016-06-29 12:00:00,1.0,3.0,2.0,0.0,2.0,1.0
2168,2016-06-29 11:00:00,1.0,1.0,3.0,2.0,0.0,2.0
2168,2016-06-29 10:00:00,2.0,1.0,1.0,3.0,2.0,0.0
2168,2016-06-29 09:00:00,3.0,2.0,1.0,1.0,3.0,2.0
2168,2016-06-29 08:00:00,1.0,3.0,2.0,1.0,1.0,3.0
2168,2016-06-29 07:00:00,2.0,1.0,3.0,2.0,1.0,1.0
2168,2016-06-29 06:00:00,2.0,2.0,1.0,3.0,2.0,1.0
2168,2016-06-29 05:00:00,0.0,2.0,2.0,1.0,3.0,2.0
2168,2016-06-29 04:00:00,3.0,0.0,2.0,2.0,1.0,3.0
2168,2016-06-29 03:00:00,0.0,3.0,0.0,2.0,2.0,1.0
2168,2016-06-29 02:00:00,0.0,0.0,3.0,0.0,2.0,2.0
2168,2016-06-29 01:00:00,1.0,0.0,0.0,3.0,0.0,2.0
